MARCA;MARCA_GN
S/A;S/A
AGUILA ROJA;AGUILA ROJA
BEMOKA;BEMOKA
QUINDIO;QUINDIO
MARISCAL;MARISCAL
COLONIAL;COLONIAL
ALMENDRA TROPICAL;ALMENDRA TROPICAL
AROMA;AROMA
LUKAFE;LUKAFE
NEW COLONY;NEW COLONY
COLCAFE;COLCAFE
LA BASTILLA;LA BASTILLA
MATIZ;MATIZ
SELLO ROJO;SELLO ROJO
FRONTERA;FRONTERA
CAFE GALAVIS EXTRA;CAFE GALAVIS EXTRA
GIRONES;GIRONES
MORASURCO;MORASURCO
DOLCE GUSTO;DOLCE GUSTO
OTRAS MARCAS;OTRAS MARCAS
PL;MARCAS PRIVADAS
JUAN VALDEZ;JUAN VALDEZ
CORDOBA;CORDOBA
CUARTAS;CUARTAS
OMA;OMA
DORIA;DORIA
LA MUNECA;LA MUNECA
RICOMPLETO;RICOMPLETO
SHUR FINE;SHUR FINE
DON VITTORIO;DON VITTORIO
BARILLA;BARILLA
ROMAGNOLA;ROMAGNOLA
COLOMBINA;COLOMBINA
MONARI;MONARI
CORTICELLA;CORTICELLA
COMARRICO;COMARRICO
KIBO;KIBO
MONTICELLO;MONTICELLO
DE CECCO;DE CECCO
FIRENZE;FIRENZE
GAVASSA;GAVASSA
MARYPAS;MARYPAS
DON GIOVANNI;DON GIOVANNI
ZONIA;ZONIA
CONZAZONI;CONZAZONI
PUGLIESE;PUGLIESE
SAN REMO;SAN REMO
KRAFT;KRAFT
VELVEETA;VELVEETA
LISTA;LISTA
BUENA MESA;BUENA MESA
LA NIEVE;LA NIEVE
NAPOLI;NAPOLI
NENA LELA;NENA LELA
NURIA;NURIA
RONDA;RONDA
MACEDONIA;MACEDONIA
UNDER WOOD;UNDER WOOD
NEGOCIO CARNICO;NEGOCIO CARNICO
RICA;RICA
DAN;DAN
FRICAR;FRICAR
BLONY;BLONY
LA CONSTANCIA;LA CONSTANCIA
LA CORUNA;LA CORUNA
KICK;KICK
DIPSA EXOTIC;DIPSA EXOTIC
DIPSA FOOD;DIPSA FOOD
EXOTIC;EXOTIC
HATSU;HATSU
NATURE VALLEY;NATURE VALLEY
KELLOGG S;KELLOGG S
ALL BRAN;ALL BRAN
CHOCO KRISPIS;CHOCO KRISPIS
NUTRI GRAIN;NUTRI GRAIN
RICE KRISPIES;RICE KRISPIES
SPECIAL K;SPECIAL K
ZUCARITAS;ZUCARITAS
CHOCOLISTO;CHOCOLISTO
SPORT;SPORT
TOSH;TOSH
CHOCAPIC;CHOCAPIC
FITNESS;FITNESS
MILO;MILO
QUAKER;QUAKER
MAIZENA;MAIZENA
NIKOLO;NIKOLO
JET;JET
JUMBO;JUMBO
MONTBLANC;MONTBLANC
SANTANDER;SANTANDER
NUCITA;NUCITA
TORRAS;TORRAS
KINDER;KINDER
GAROTO;GAROTO
HERSHEY S;HERSHEY S
REESE S;REESE S
BIANCHI;BIANCHI
ITALO;ITALO
DOLCEVITA;DOLCEVITA
LINDT;LINDT
LOK;LOK
M M S;M M S
SNICKERS;SNICKERS
MILKA;MILKA
OREO;OREO
PERUGINA;PERUGINA
TRIUNFO;TRIUNFO
WAWEL;WAWEL
LUKER;LUKER
SOLAR;SOLAR
CHOCO LYNE;CHOCO LYNE
MOMENTS;MOMENTS
BUTTER FINGER;BUTTER FINGER
CLASSIC;CLASSIC
SEDUCCION;SEDUCCION
CHOCO STOP;CHOCO STOP
GOLPE;GOLPE
GOL;GOL
KICK KAT;KICK KAT
KINDER BUENO;KINDER BUENO
SUPER COCO;SUPER COCO
BONFRUIT;BONFRUIT
MARS;MARS
3 MUSKETTERS;3 MUSKETTERS
MILKY WAY;MILKY WAY
TWIST;TWIST
TWIX;TWIX
KIT KAT;KIT KAT
BON O BON;BON O BON
SAPITO;SAPITO
ROLETTO;ROLETTO
CHOCO BREAK;CHOCO BREAK
CHOCO DISK;CHOCO DISK
KICK BACK;KICK BACK
FERRERO ROCHER;FERRERO ROCHER
NOGGY;NOGGY
BITES;BITES
KISSES;KISSES
MICHOC;MICHOC
BACI;BACI
NOEL;NOEL
CALENDARIO NAVIDAD;CALENDARIO NAVIDAD
RAFFAELLO;RAFFAELLO
BONKIS;BONKIS
MERCI;MERCI
MARIA ELISA;MARIA ELISA
NAYARITH;NAYARITH
BEAUMONT;BEAUMONT
DULCE NAVIDAD;DULCE NAVIDAD
GREZON;GREZON
ABURRA;ABURRA
LA ESPECIAL;LA ESPECIAL
DELIMANI;DELIMANI
DONA BETTY;DONA BETTY
FRITO LAY;FRITO LAY
MANITOBA;MANITOBA
EL MANICERO;EL MANICERO
JACK S;JACK S
PLANTERS;PLANTERS
MANIYUM;MANIYUM
LUMA;LUMA
MANI MOTO;MANI MOTO
NATUNUTS;NATUNUTS
NUTRINUT;NUTRINUT
SNACK MIX;SNACK MIX
NATURE S HEART;NATURE S HEART
CROCATO;CROCATO
CHOCOLORES;CHOCOLORES
CORONA;CORONA
FRESCAVENA;FRESCAVENA
TODDY;TODDY
CHOCOLISTO CROCANTE;CHOCOLISTO CROCANTE
