MERCADO;MERCADO_GN
S/A;S/A
COLOMBIA SUP MIN TRA;COLOMBIA SUP MIN TRA
NEW COLOMBIA SUP MIN TRA 72;NEW COLOMBIA SUP MIN TRA 72
COLOMBIA CAP SUP MIN TRA;COLOMBIA CAP SUP MIN TRA
NEW COLOMBIA CAP SUP MIN TRA 72;NEW COLOMBIA CAP SUP MIN TRA 72
COLOMBIA OTROS MUN SUP MIN TRA;COLOMBIA OTROS MUN SUP MIN TRA
NEW COLOMBIA OTROS MUN SUP MIN TRA 72;NEW COLOMBIA OTROS MUN SUP MIN TRA 72
COLOMBIA AUTOSERVICIO;COLOMBIA AUTOSERVICIO
NEW COLOMBIA AUTOSERVICIO 72;NEW COLOMBIA AUTOSERVICIO 72
COLOMBIA SUPER CADENA;COLOMBIA SUPER CADENA
NEW COLOMBIA SUPER CADENA 72;NEW COLOMBIA SUPER CADENA 72
COLOMBIA HIPERMERCADOS;COLOMBIA HIPERMERCADOS
COLOMBIA OTROS SUPER CADENA;COLOMBIA OTROS SUPER CADENA
NEW COLOMBIA OTROS SUPER CADENA 72;NEW COLOMBIA OTROS SUPER CADENA 72
COLOMBIA OTROS SUPER CADENA GRANDES;COLOMBIA OTROS SUPER CADENA GRANDES
COLOMBIA OTROS SUPER CADENA PEQUENAS;COLOMBIA OTROS SUPER CADENA PEQUENAS
NEW COLOMBIA OTROS SUPER CADENA PEQUENAS 72;NEW COLOMBIA OTROS SUPER CADENA PEQUENAS 72
COLOMBIA CADENAS NACIONALES;COLOMBIA CADENAS NACIONALES
NEW COLOMBIA CADENAS NACIONALES 72;NEW COLOMBIA CADENAS NACIONALES 72
COLOMBIA RESTO SUPERMERCADOS;COLOMBIA RESTO SUPERMERCADOS
COLOMBIA SUPERETES SUP MIN;COLOMBIA SUPERETES SUP MIN
COLOMBIA SUPERMERCADOS INDEPENDIENTES;COLOMBIA SUPERMERCADOS INDEPENDIENTES
COLOMBIA MINIMERCADOS;COLOMBIA MINIMERCADOS
COLOMBIA TRAD MINI;COLOMBIA TRAD MINI
COLOMBIA TRADICIONALES;COLOMBIA TRADICIONALES
ATLANTICO SUP MIN TRA2;ATLANTICO SUP MIN TRA2
NEW ATLANTICO SUP MIN TRA 72;NEW ATLANTICO SUP MIN TRA 72
ATLANTICO CAP SUP MIN TRA;ATLANTICO CAP SUP MIN TRA
NEW ATLANTICO CAP SUP MIN TRA 72;NEW ATLANTICO CAP SUP MIN TRA 72
ATLANTICO OTROS MUN SUP MIN TRA;ATLANTICO OTROS MUN SUP MIN TRA
NEW ATLANTICO OTROS MUN SUP MIN TRA 72;NEW ATLANTICO OTROS MUN SUP MIN TRA 72
