SUBTIPO;SUBTIPO_GN
S/A;S/A
OTROS;OTROS
POLLO;POLLO
CERDO;CERDO
PATO;PATO
FRANKFURT;FRANKFURT
VIENA;VIENA
VIENA LIMON;VIENA LIMON
SIN SUBTIPO;SIN SUBTIPO
TODOS;TODOS
ANTIOQUENOS;ANTIOQUENOS
BAYOS ENTEROS;BAYOS ENTEROS
CHARROS;CHARROS
REFRITOS;REFRITOS
ALBONDIGAS;ALBONDIGAS
CARNE DE DIABLO;CARNE DE DIABLO
JAMON ENDIABLADO;JAMON ENDIABLADO
JAMONADA/JAMONETA;JAMONADA/JAMONETA
OTROS SUBTIPOS;OTROS SUBTIPOS
PATE;PATE
PECHUGA DESMECHADA;PECHUGA DESMECHADA
RES;RES
RES CERDO;RES CERDO
CARNE DESMECHADA;CARNE DESMECHADA
