TIPO;TIPO_GN
S/A;S/A
MACARRON / MACARRONCITOS;MACARRON / MACARRONCITOS
NOODLE;NOODLE
OTROS;OTROS
RAVIOLI;RAVIOLI
CARACOL;CARACOL
BAVETTE;BAVETTE
BUCATINI;BUCATINI
CANELONES;CANELONES
CONCHITAS;CONCHITAS
ESPAGUETTI;ESPAGUETTI
ESTRELLITAS;ESTRELLITAS
FARFALLE;FARFALLE
FETTUCCINE;FETTUCCINE
FUSILLI;FUSILLI
GNOCCHI;GNOCCHI
LASAGNA;LASAGNA
LINGUINE;LINGUINE
PENNE RIGATE / RIGATONE;PENNE RIGATE / RIGATONE
RISONI;RISONI
ROTINI;ROTINI
TAGLIATELLE;TAGLIATELLE
TORTELLINI;TORTELLINI
TORTIGLIONI;TORTIGLIONI
ARGOLLAS / ARGOLLITAS;ARGOLLAS / ARGOLLITAS
CABELLO DE ANGEL;CABELLO DE ANGEL
CODOS;CODOS
CONCHAS;CONCHAS
CORBATAS;CORBATAS
FIDEO;FIDEO
GRANITOS;GRANITOS
GUARGUERON;GUARGUERON
LETRAS;LETRAS
LETRITAS;LETRITAS
MACARRON LARGO;MACARRON LARGO
NIDOS;NIDOS
SURTIDO;SURTIDO
TALLARIN;TALLARIN
TORNILLOS;TORNILLOS
VERMICELLI;VERMICELLI
CODITOS;CODITOS
MACARRON CORTO;MACARRON CORTO
MACARRON GRUESO;MACARRON GRUESO
CAPELLINI;CAPELLINI
GOBBETI;GOBBETI
PLUMA;PLUMA
DEPORTES;DEPORTES
ESPACIAL;ESPACIAL
PRINCESAS;PRINCESAS
BROCA;BROCA
ALBONDIGAS;ALBONDIGAS
CARNE DE DIABLO;CARNE DE DIABLO
CARNE DESMECHADA;CARNE DESMECHADA
JAMON ENDIABLADO;JAMON ENDIABLADO
JAMONADA/JAMONETA;JAMONADA/JAMONETA
PATE;PATE
PECHUGA DESMECHADA;PECHUGA DESMECHADA
POLLO;POLLO
RES;RES
RES CERDO;RES CERDO
TODOS;TODOS
ACEITUNA;ACEITUNA
ALCAPARRAS;ALCAPARRAS
ARVEJA;ARVEJA
CEBOLLITAS;CEBOLLITAS
CHAMPINON;CHAMPINON
ENSALADA/VEGETALES MIXTOS;ENSALADA/VEGETALES MIXTOS
ESPARRAGOS;ESPARRAGOS
FRIJOL;FRIJOL
GARBANZO;GARBANZO
LENTEJA;LENTEJA
MAIZ;MAIZ
4 SEGMENTO;4 SEGMENTO
RESTO TIPO;RESTO TIPO
AMARGO B;AMARGO B
AZUCAR MORENA B;AZUCAR MORENA B
AZUCAR/PANELA B;AZUCAR/PANELA B
DIETETICO B;DIETETICO B
MENOS AZUCAR;MENOS AZUCAR
AMARGO P;AMARGO P
AZUCAR/PANELA P;AZUCAR/PANELA P
DIETETICO P;DIETETICO P
AZUCAR MORENA P;AZUCAR MORENA P
CASSATA;CASSATA
CREMA LECHE;CREMA LECHE
GALLETA SANDWICH;GALLETA SANDWICH
HELADO AGUA / PALETA AGUA;HELADO AGUA / PALETA AGUA
HELADO LECHE / PALETA LECHE;HELADO LECHE / PALETA LECHE
ROLLO;ROLLO
TORTA;TORTA
GRANIZADO;GRANIZADO
CONO DURO;CONO DURO
CONO BLANDO;CONO BLANDO
BARRA;BARRA
CREMA AGUA;CREMA AGUA
PASTA HOJALDRE;PASTA HOJALDRE
MASA HOJALDRE;MASA HOJALDRE
MASA BUNUELOS;MASA BUNUELOS
MASA TAMAL;MASA TAMAL
DEDOS/PALITOS;DEDOS/PALITOS
EMPANADAS;EMPANADAS
QUIBBES;QUIBBES
ALMOJABANA;ALMOJABANA
BURRITOS;BURRITOS
CREPES;CREPES
PAN DE YUCAS;PAN DE YUCAS
QUESADILLAS;QUESADILLAS
WAFFLES;WAFFLES
YUCAS/YUQUITAS;YUCAS/YUQUITAS
FAGOTTINO;FAGOTTINO
RAVIOLIS;RAVIOLIS
TORTELLONI;TORTELLONI
NUGGETS;NUGGETS
PINCHOS;PINCHOS
CORDON BLUE;CORDON BLUE
HAMBURGUESAS;HAMBURGUESAS
TROCITOS;TROCITOS
ALITAS;ALITAS
MUSLITOS;MUSLITOS
LECHONA;LECHONA
TAMAL;TAMAL
PAELLA;PAELLA
GOULASH;GOULASH
FIGURITAS;FIGURITAS
ZOOLOGICO;ZOOLOGICO
ARROZ;ARROZ
DISNEY;DISNEY
RESTO;RESTO
SIN TAMAL;SIN TAMAL
ARRACACHA;ARRACACHA
CHICHARRON;CHICHARRON
HARINA / ALMIDON DE YUCA;HARINA / ALMIDON DE YUCA
LONCHERA;LONCHERA
MANI;MANI
