VARIEDAD;VARIEDAD_GN
S/A;S/A
CTE;CTE
DESCAFEINADO;DESCAFEINADO
SUPREMO;SUPREMO
GOURMET;GOURMET
ORGANICO;ORGANICO
PREMIUM;PREMIUM
SUPERIOR/EXCELSO;SUPERIOR/EXCELSO
CLASICO;CLASICO
INTENSO;INTENSO
CAPPUCCINO;CAPPUCCINO
OTROS;OTROS
RESERVA;RESERVA
EBANO;EBANO
ESCARLATA;ESCARLATA
AMBAR;AMBAR
EL CIELO;EL CIELO
MARFIL;MARFIL
ORIGEN;ORIGEN
PREMIUM CTE;PREMIUM CTE
CANELA;CANELA
ESPRESSO;ESPRESSO
MOCCA;MOCCA
SELECTO;SELECTO
VIVE;VIVE
AMERICANO;AMERICANO
LATTE MACCHIATO;LATTE MACCHIATO
CUMBRE DESCAFEINADO;CUMBRE DESCAFEINADO
PREMIUM/COLINA;PREMIUM/COLINA
PREMIUM/CUMBRE;PREMIUM/CUMBRE
ORGANICO CTE;ORGANICO CTE
PREMIUM/VOLCAN;PREMIUM/VOLCAN
LINEA SELECTA;LINEA SELECTA
SELECCION ESPECIAL;SELECCION ESPECIAL
TRADICION;TRADICION
LIGHT;LIGHT
ESTL ARTSNL;ESTL ARTSNL
BLANCA CRUJI JET;BLANCA CRUJI JET
BLANCA JET;BLANCA JET
BURBJT CKS AND CRM;BURBJT CKS AND CRM
BURBUJET;BURBUJET
COOKIES AND CREAM;COOKIES AND CREAM
CRUJI JET;CRUJI JET
ALMENDRAS;ALMENDRAS
CHOKOCO;CHOKOCO
KREMANI;KREMANI
MANI;MANI
MANI CON PASAS;MANI CON PASAS
MANI OTROS;MANI OTROS
NUECS DLX;NUECS DLX
PISTCH;PISTCH
ALMNDS;ALMNDS
GOLD;GOLD
SPECL DRK;SPECL DRK
PEANUT;PEANUT
LECHE Y CALCIO;LECHE Y CALCIO
LYNE;LYNE
MILK;MILK
BLACK WHITE;BLACK WHITE
CHOCOMAX;CHOCOMAX
COCO;COCO
MEGA;MEGA
MINI;MINI
COMB CKS AND CRM;COMB CKS AND CRM
DELI;DELI
ROLLED WAFER;ROLLED WAFER
TRIKI;TRIKI
CROCK;CROCK
FLOW;FLOW
MIX;MIX
STICKS;STICKS
MINIS;MINIS
JET BURBUJA;JET BURBUJA
JET GOOL;JET GOOL
JET SAURIO;JET SAURIO
BITE;BITE
CAROTAS;CAROTAS
FELZ PSC;FELZ PSC
BALL;BALL
COOKIES;COOKIES
FRUTS DL BSQ;FRUTS DL BSQ
MEG BLL;MEG BLL
SURTIDO CARAMEL;SURTIDO CARAMEL
DULC NVDD;DULC NVDD
FELCS FSTS;FELCS FSTS
FELZ D;FELZ D
LOVE;LOVE
YOU ME;YOU ME
FIGURAS;FIGURAS
JOY;JOY
SORPRESA;SORPRESA
BAJO EN SODIO;BAJO EN SODIO
CERVECERO;CERVECERO
EL MANICERO;EL MANICERO
ARANDAMIX;ARANDAMIX
CRUJIMIX;CRUJIMIX
HAB MX;HAB MX
MAXIMIX;MAXIMIX
MEZCLA ARANDANOS;MEZCLA ARANDANOS
MEZCLA CHOCOLATE RECUBIERTO;MEZCLA CHOCOLATE RECUBIERTO
MEZCLA DE NUECES;MEZCLA DE NUECES
MIX SLD;MIX SLD
SABRS DL MND;SABRS DL MND
TRIO MIX;TRIO MIX
YOGURT MIX;YOGURT MIX
DEL HUERTO CROCANTE;DEL HUERTO CROCANTE
MIX PRIMAVERAL;MIX PRIMAVERAL
MIX SILVESTRE;MIX SILVESTRE
NUECES Y SEMILLAS;NUECES Y SEMILLAS
ALMENDRAS MARANONES;ALMENDRAS MARANONES
ALMENDRAS UCHUVA;ALMENDRAS UCHUVA
DELUXE;DELUXE
MAIZ CRUJIENTE ARANDANO;MAIZ CRUJIENTE ARANDANO
MIXES;MIXES
TRAIL MIX;TRAIL MIX
KRAKS;KRAKS
SUAVE;SUAVE
JAPONES;JAPONES
DOTS;DOTS
CHOKIS;CHOKIS
SUBLIM;SUBLIM
LIOFILIZADO;LIOFILIZADO
NEUTRALIZADO;NEUTRALIZADO
REGULAR;REGULAR
RESERVADO;RESERVADO
CARAMELO;CARAMELO
VAINILLA;VAINILLA
INSTANTE;INSTANTE
AMARETTO;AMARETTO
IRLANDES;IRLANDES
FIN SLCCN;FIN SLCCN
SAN AGUSTIN;SAN AGUSTIN
SANTUARIO;SANTUARIO
TRADICIONAL;TRADICIONAL
3 EN 1;3 EN 1
TODO EN 1;TODO EN 1
TODO EN 1 LIGHT;TODO EN 1 LIGHT
CAF CN LCH SN AZCR;CAF CN LCH SN AZCR
CAFE CON LECHE;CAFE CON LECHE
CAPCCN M TZ;CAPCCN M TZ
RESTO;RESTO
VARIEDAD DESCAFEINADOS;VARIEDAD DESCAFEINADOS
VARIEDAD ESPECIALES;VARIEDAD ESPECIALES
VARIEDAD;VARIEDAD
VARIEDAD PREMIUM;VARIEDAD PREMIUM
CAFE HELADO;CAFE HELADO
TIRAMISU;TIRAMISU
AREQUIPE;AREQUIPE
TRICOLOR;TRICOLOR
BALON;BALON
MANI Y CRISPI;MANI Y CRISPI
TOONIX;TOONIX
GRAN SORPRESA;GRAN SORPRESA
TOYS;TOYS
COMBI;COMBI
NAVIDAD;NAVIDAD
CHUSQUITAS;CHUSQUITAS
COCDTS;COCDTS
GALLETA DE LECHE;GALLETA DE LECHE
PALTS D GYB;PALTS D GYB
PALTS D LMN;PALTS D LMN
SANDWICH;SANDWICH
SURTIDAS;SURTIDAS
BESSOS;BESSOS
FRUIT CRACKER;FRUIT CRACKER
MAIZ DLC;MAIZ DLC
MULTICEREAL;MULTICEREAL
MAX;MAX
CHIPSOS;CHIPSOS
CHOKIS BLACK;CHOKIS BLACK
CHOKIS CHIPS;CHOKIS CHIPS
CHOKIS CHISPAS EXTRA;CHOKIS CHISPAS EXTRA
CHOKIS CHISPAS NAVIDAD;CHOKIS CHISPAS NAVIDAD
